Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
1680408000000,1817.68,1824.81,1813.42,1820.6,34491.2047,1680422399999,62764038.95202000,91289,19060.34040000,34684791.78567100,0
1680422400000,1820.59,1823.66,1815.25,1817.42,34477.7432,1680436799999,62722198.12069800,75884,18292.17060000,33280755.05497200,0
1680436800000,1817.42,1819.91,1789.1,1797.54,90323.3299,1680451199999,163089575.76561800,156585,41728.59900000,75329561.64436200,0
1680451200000,1797.54,1803.92,1771.7,1781.75,70745.4606,1680465599999,126710082.60770300,124412,34665.28670000,62101579.83559700,0
1680465600000,1781.75,1795.81,1777.35,1794.51,54262.3416,1680479999999,96974170.03746400,105586,28631.40960000,51171039.37901200,0
1680480000000,1794.51,1794.56,1762.77,1778.34,85448.9177,1680494399999,151828207.51404800,142236,40192.85000000,71399770.41323600,0
1680494400000,1778.33,1795.0,1772.54,1794.87,53070.1991,1680508799999,94650925.43671700,135353,28373.61550000,50613181.48366800,0
1680508800000,1794.86,1817.5,1794.74,1807.69,103335.2198,1680523199999,186978776.87543500,188897,51125.57470000,92513233.81728600,0
1680523200000,1807.69,1822.35,1788.64,1797.11,89894.216,1680537599999,162041828.39067400,193719,46529.96880000,83899836.30476300,0
1680537600000,1797.12,1839.99,1791.4,1818.89,141159.7511,1680551999999,256694235.44053200,211394,74279.98940000,135108879.35492000,0
1680552000000,1818.88,1819.86,1768.27,1810.51,155595.3582,1680566399999,279242826.77966700,227082,77754.91970000,139569194.66909700,0
1680566400000,1810.51,1816.83,1802.01,1807.62,52200.18,1680580799999,94429101.38046100,103879,28355.78980000,51295581.39374700,0
1680580800000,1807.61,1823.07,1803.17,1812.2,67070.1685,1680595199999,121620463.47142900,133640,35079.74700000,63613346.59009900,0
1680595200000,1812.21,1875.0,1811.04,1864.91,206838.9972,1680609599999,382228315.22759000,329151,112919.49230000,208530165.22280500,0
1680609600000,1864.9,1891.91,1851.95,1862.96,185460.2391,1680623999999,346495009.63626400,298296,93468.59480000,174650860.46512400,0
1680624000000,1862.96,1873.74,1857.16,1868.92,59515.6084,1680638399999,111077863.84539100,113642,29113.30520000,54337349.56760300,0
