Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
1680696000000,28554.37,28750.0,27860.0,28031.09,19633.382,1680710399999,555141194.29624740,389523,9687.33303000,273931210.51682140,0
1680710400000,28031.09,28308.04,27805.1,28240.64,11011.74625,1680724799999,308690916.67418010,225348,5595.98115000,156922833.68554840,0
1680724800000,28240.64,28300.0,28132.16,28170.01,4067.92776,1680739199999,114669105.33058960,108298,2047.06247000,57703808.68265680,0
1680739200000,28170.01,28182.05,27878.6,28128.42,6441.25347,1680753599999,180559668.51362800,176628,2996.97917000,84015131.75533210,0
1680753600000,28128.42,28130.0,27907.77,27910.97,4898.59822,1680767999999,137311145.18665700,120212,2217.51512000,62162539.97617500,0
1680768000000,27910.97,28028.6,27711.0,27945.52,8497.72048,1680782399999,236988701.27556620,192229,3998.95418000,111533292.25251200,0
1680782400000,27945.51,28181.05,27750.0,28090.39,10932.58337,1680796799999,305721842.94894250,213812,5509.28981000,154087037.42263980,0
1680796800000,28090.39,28165.88,27950.9,28017.77,5293.83638,1680811199999,148536619.05231990,123959,2540.74815000,71293807.93198950,0
1680811200000,28017.77,28121.87,27900.0,28033.82,4054.95771,1680825599999,113595110.57906900,107708,2045.15726000,57292451.51815160,0
1680825600000,28033.83,28100.0,27926.52,28038.66,3144.63896,1680839999999,88146347.05107110,101113,1567.05756000,43923145.54782160,0
1680840000000,28038.67,28062.73,27766.94,27839.78,4967.42754,1680854399999,138730068.84507290,135123,2275.36309000,63546583.57090150,0
1680854400000,27839.79,27961.67,27785.0,27840.9,5563.5226,1680868799999,155095357.59993240,121265,2580.84279000,71955432.12796680,0
1680868800000,27840.89,27984.75,27800.0,27944.1,5761.76975,1680883199999,160762132.74279430,140484,3040.89130000,84844387.45361220,0
1680883200000,27944.09,27953.47,27856.0,27897.52,2550.36482,1680897599999,71164211.21731160,76639,1179.65615000,32915717.63546590,0
1680897600000,27897.51,27980.74,27839.02,27906.33,2774.3702,1680911999999,77425631.47245900,81010,1339.32278000,37374212.13451390,0
1680912000000,27906.34,28059.39,27859.02,28023.39,3614.73585,1680926399999,100996661.81377850,103217,1960.08128000,54765613.87721710,0
1680926400000,28023.39,28154.99,27974.14,28086.22,4034.10068,1680940799999,113281145.02437380,103536,2156.60256000,60566347.91146060,0
1680940800000,28086.22,28114.94,27990.57,28016.09,2664.16144,1680955199999,74715497.07113550,79955,1224.66290000,34342849.68144560,0
1680955200000,28016.09,28057.0,27950.0,28014.7,3002.75065,1680969599999,84103537.29447180,105759,1438.13001000,40281121.98830060,0
1680969600000,28014.71,28020.0,27872.11,27924.13,3619.71605,1680983999999,101150959.54763030,119177,1695.57762000,47378695.97746510,0
1680984000000,27924.13,27987.41,27885.86,27938.38,2544.50268,1680998399999,71076717.93468550,112515,1254.18777000,35032049.90814970,0
1680998400000,27938.38,28083.45,27924.9,28027.71,3682.55851,1681012799999,103256263.25636130,97312,1957.27965000,54876160.89303760,0
1681012800000,28027.71,28067.46,27840.51,27903.02,5008.26881,1681027199999,139906738.23757000,117785,2529.85756000,70667966.89807430,0
1681027200000,27903.01,27949.99,27800.0,27930.2,3470.02822,1681041599999,96786095.44376090,93671,1663.91252000,46415007.78657400,0
1681041600000,27930.2,27973.39,27800.0,27891.91,3818.27012,1681055999999,106496353.43429140,127631,1826.37992000,50940304.41749980,0
1681056000000,27891.91,28250.0,27876.68,28140.4,6527.39031,1681070399999,183258062.41069400,151815,3610.57462000,101363077.29767790,0
1681070400000,28140.41,28530.0,28094.5,28323.76,10024.64504,1681084799999,284212410.91251810,189375,5297.70330000,150191808.06406600,0
1681084800000,28323.76,28425.43,28244.18,28278.45,5372.26276,1681099199999,152165655.49501480,122422,2698.18871000,76427515.64199530,0
1681099200000,28278.45,28325.43,28196.61,28284.57,4995.24453,1681113599999,141178153.92206140,105145,2961.76045000,83699487.06719570,0
1681113600000,28284.57,28375.02,28275.01,28305.6,5234.32286,1681127999999,148247870.25727250,103816,2685.45938000,76058178.02115160,0
1681128000000,28305.59,28575.04,28170.0,28439.38,10137.40167,1681142399999,287346546.19666310,193017,5248.26249000,148784572.06861980,0
1681142400000,28439.39,29380.0,28356.51,29173.06,27035.28756,1681156799999,784702706.54737020,474950,14405.16713000,417943350.88966690,0
1681156800000,29173.05,29770.0,29069.1,29637.34,14979.54282,1681171199999,441660010.75244850,286345,8148.78510000,240225583.90298320,0
